title,type,genre,mood_tags,description,emotional_tone,after_watch_suggests,combined
Attack on Titan,anime,"action, dark, fantasy","intense, heavy, emotional, epic, devastating",Humanity survives behind walls protecting them from titans. A boy vows revenge after witnessing tragedy.,"dark, hopeful, devastating, epic",something equally heavy or completely opposite to recover,"intense, heavy, emotional, epic, devastating dark, hopeful, devastating, epic something equally heavy or completely opposite to recover Humanity survives behind walls protecting them from titans. A boy vows revenge after witnessing tragedy."
Apothecary Diaries,anime,"historical, mystery, light","lighthearted, fun, historical, curious, warm",A pharmacist's daughter works in the imperial court solving medical mysteries with wit and curiosity.,"warm, curious, lighthearted, satisfying","chinese history, concubines, lighthearted, strong female leads","lighthearted, fun, historical, curious, warm warm, curious, lighthearted, satisfying chinese history, concubines, lighthearted, strong female leads A pharmacist's daughter works in the imperial court solving medical mysteries with wit and curiosity."
Frieren,anime,"fantasy, emotional, adventure","emotional, sad, funny, wholesome, bittersweet",An immortal elven mage journeys to the ends of the world after her companions are long gone.,"melancholic, wholesome, bittersweet, peaceful","strong female characters, fun, lighthearted","emotional, sad, funny, wholesome, bittersweet melancholic, wholesome, bittersweet, peaceful strong female characters, fun, lighthearted An immortal elven mage journeys to the ends of the world after her companions are long gone."
Saiki K,anime,"comedy, slice of life","lighthearted, funny, feel-good, hilarious, relaxing",A psychic high schooler tries to live a normal life while hiding his overwhelming powers.,"joyful, light, funny, refreshing","equally funny, feel-good, lighthearted comedy","lighthearted, funny, feel-good, hilarious, relaxing joyful, light, funny, refreshing equally funny, feel-good, lighthearted comedy A psychic high schooler tries to live a normal life while hiding his overwhelming powers."
The Summer Hikaru Died,anime,"horror, queer, emotional","sad, eerie, queer, bittersweet, haunting",A boy's best friend returns from the dead but something feels deeply wrong about him.,"haunting, sad, tender, eerie","queer content, horror, short anime like Another","sad, eerie, queer, bittersweet, haunting haunting, sad, tender, eerie queer content, horror, short anime like Another A boy's best friend returns from the dead but something feels deeply wrong about him."
Sakamoto Days,anime,"action, comedy","funny, action, lighthearted, double life, cool",A retired assassin tries to live a normal life running a convenience store but trouble follows.,"fun, cool, lighthearted, exciting","double life characters, assassination, action comedy","funny, action, lighthearted, double life, cool fun, cool, lighthearted, exciting double life characters, assassination, action comedy A retired assassin tries to live a normal life running a convenience store but trouble follows."
FROM,web series,"horror, mystery, survival","horror, mysterious, unsettling, gripping, survival",A group of people find themselves trapped in a town with no escape and mysterious monsters.,"tense, unsettling, mysterious, gripping","long mystery horror, multiple seasons, dark","horror, mysterious, unsettling, gripping, survival tense, unsettling, mysterious, gripping long mystery horror, multiple seasons, dark A group of people find themselves trapped in a town with no escape and mysterious monsters."
Dark,web series,"psychological, thriller, sci-fi","mind-bending, dark, unsettling, intellectual, complex",Three generations of two families are haunted by a time travel conspiracy in a German town.,"dark, complex, mind-bending, heavy","psychological thriller, time travel, complex","mind-bending, dark, unsettling, intellectual, complex dark, complex, mind-bending, heavy psychological thriller, time travel, complex Three generations of two families are haunted by a time travel conspiracy in a German town."
Adolescence,web series,short drama,"short, dramatic, emotional, intense",A short intense drama exploring raw human emotion and relationships.,"intense, emotional, dramatic","short intense drama, emotional film","short, dramatic, emotional, intense intense, emotional, dramatic short intense drama, emotional film A short intense drama exploring raw human emotion and relationships."
Welcome to Derry,web series,horror,"horror, creepy, nostalgic, scary",Children face an ancient evil that returns every 27 years to their town.,"scary, nostalgic, creepy, tense","horror sequels, creepy atmospheric series","horror, creepy, nostalgic, scary scary, nostalgic, creepy, tense horror sequels, creepy atmospheric series Children face an ancient evil that returns every 27 years to their town."
